Learning Rate,Category,Partner,,PositiveFriend,PositiveStranger,NegativeFriend,NegativeStranger
0.309988003,Positive,Friend,,0.309988003,0.999999976,0.000100043,0.999999907
0.009731634,Positive,Friend,,0.009731634,0.021346288,0.620224639,0.028844865
0.037334289,Positive,Friend,,0.037334289,0.027214829,0.070008983,0.04121475
0.349545896,Positive,Friend,,0.349545896,0.734568247,0.24783933,0.221921698
0.851546736,Positive,Friend,,0.851546736,0.866944471,0.91686875,0.974673363
0.033039881,Positive,Friend,,0.033039881,0.361269168,0.194235236,0.0001
0.00454322,Positive,Friend,,0.00454322,0.265809653,0.00403397,0.0001
0.226708895,Positive,Friend,,0.226708895,0.999999981,0.000100011,0.999999997
0.376155845,Positive,Friend,,0.376155845,0.127124417,0.000100001,0.99999999
0.038145608,Positive,Friend,,0.038145608,0.999999995,0.175310444,0.0001
0.004187965,Positive,Friend,,0.004187965,0.999999996,0.001966046,0.550552092
0.285454328,Positive,Friend,,0.285454328,0.999999994,0.923444083,0.346154332
0.999999997,Positive,Friend,,0.999999997,0.999999999,0.999999999,0.854714435
0.758365719,Positive,Friend,,0.758365719,0.960756679,0.892299897,0.999999999
0.004483579,Positive,Friend,,0.004483579,0.017947862,0.004290827,0.015287247
0.003302633,Positive,Friend,,0.003302633,0.358445141,0.741832136,0.999999657
0.974605186,Positive,Friend,,0.974605186,0.999999987,0.976776568,0.999999998
0.542519814,Positive,Friend,,0.542519814,0.554569525,0.999999998,0.833949518
0.495235189,Positive,Friend,,0.495235189,0.777805398,0.856457086,0.695530126
0.543379207,Positive,Friend,,0.543379207,0.504863751,0.084418239,0.999999997
0.803525611,Positive,Friend,,0.803525611,0.999999999,0.999999995,0.999999994
0.09297282,Positive,Friend,,0.09297282,0.097024872,0.458357164,0.111908707
0.544625118,Positive,Friend,,0.544625118,0.50508231,0.93395802,0.481024855
0.999999993,Positive,Friend,,0.999999993,0.999999993,0.668709412,0.999999998
0.000100043,Negative,Friend,,,,,
0.620224639,Negative,Friend,,,,,
0.070008983,Negative,Friend,,,,,
0.24783933,Negative,Friend,,,,,
0.91686875,Negative,Friend,,,,,
0.194235236,Negative,Friend,,,,,
0.00403397,Negative,Friend,,,,,
0.000100011,Negative,Friend,,,,,
0.000100001,Negative,Friend,,,,,
0.175310444,Negative,Friend,,,,,
0.001966046,Negative,Friend,,,,,
0.923444083,Negative,Friend,,,,,
0.999999999,Negative,Friend,,,,,
0.892299897,Negative,Friend,,,,,
0.004290827,Negative,Friend,,,,,
0.741832136,Negative,Friend,,,,,
0.976776568,Negative,Friend,,,,,
0.999999998,Negative,Friend,,,,,
0.856457086,Negative,Friend,,,,,
0.084418239,Negative,Friend,,,,,
0.999999995,Negative,Friend,,,,,
0.458357164,Negative,Friend,,,,,
0.93395802,Negative,Friend,,,,,
0.668709412,Negative,Friend,,,,,
0.999999976,Positive,Stranger,,,,,
0.021346288,Positive,Stranger,,,,,
0.027214829,Positive,Stranger,,,,,
0.734568247,Positive,Stranger,,,,,
0.866944471,Positive,Stranger,,,,,
0.361269168,Positive,Stranger,,,,,
0.265809653,Positive,Stranger,,,,,
0.999999981,Positive,Stranger,,,,,
0.127124417,Positive,Stranger,,,,,
0.999999995,Positive,Stranger,,,,,
0.999999996,Positive,Stranger,,,,,
0.999999994,Positive,Stranger,,,,,
0.999999999,Positive,Stranger,,,,,
0.960756679,Positive,Stranger,,,,,
0.017947862,Positive,Stranger,,,,,
0.358445141,Positive,Stranger,,,,,
0.999999987,Positive,Stranger,,,,,
0.554569525,Positive,Stranger,,,,,
0.777805398,Positive,Stranger,,,,,
0.504863751,Positive,Stranger,,,,,
0.999999999,Positive,Stranger,,,,,
0.097024872,Positive,Stranger,,,,,
0.50508231,Positive,Stranger,,,,,
0.999999993,Positive,Stranger,,,,,
0.999999907,Negative,Stranger,,,,,
0.028844865,Negative,Stranger,,,,,
0.04121475,Negative,Stranger,,,,,
0.221921698,Negative,Stranger,,,,,
0.974673363,Negative,Stranger,,,,,
0.0001,Negative,Stranger,,,,,
0.0001,Negative,Stranger,,,,,
0.999999997,Negative,Stranger,,,,,
0.99999999,Negative,Stranger,,,,,
0.0001,Negative,Stranger,,,,,
0.550552092,Negative,Stranger,,,,,
0.346154332,Negative,Stranger,,,,,
0.854714435,Negative,Stranger,,,,,
0.999999999,Negative,Stranger,,,,,
0.015287247,Negative,Stranger,,,,,
0.999999657,Negative,Stranger,,,,,
0.999999998,Negative,Stranger,,,,,
0.833949518,Negative,Stranger,,,,,
0.695530126,Negative,Stranger,,,,,
0.999999997,Negative,Stranger,,,,,
0.999999994,Negative,Stranger,,,,,
0.111908707,Negative,Stranger,,,,,
0.481024855,Negative,Stranger,,,,,
0.999999998,Negative,Stranger,,,,,
