Sub,,LG,SP,LGSP,LGSP Dynamic,,Bayesian Information Criteria,Model
101,,-98.225,-96.623,-135.04,-130.99,,-101.88,Baseline
102,,-352.05,-361.7,-281.41,-367.32,,-356.36,Baseline
103,,95.05,95.223,75.478,66.111,,90.68,Baseline
104,,113.79,115.12,139.68,132.06,,112.05,Baseline
105,,7.6062,8.493,14.806,19.489,,3.6931,Baseline
106,,193.39,195.97,83.488,3.5946,,190.75,Baseline
107,,147.69,151.52,-37.146,-78.271,,142.68,Baseline
108,,217.8,219.19,-25.892,-21.482,,213.77,Baseline
110,,92.977,93.569,70.372,66.169,,89.678,Baseline
112,,269.02,271.12,150.13,102.8,,263.99,Baseline
113,,83.4,84.648,72.75,74.829,,79.538,Baseline
114,,134.77,120.71,31.82,31.44,,132.26,Baseline
116,,-69.104,-69.749,-6.6242,-6.8893,,-73.686,Baseline
117,,18.087,53.127,30.527,26.199,,47.964,Baseline
118,,211.72,211.93,-24.423,-24.856,,207.19,Baseline
119,,102.02,104.95,1.8331,-1.042,,97.378,Baseline
120,,-55.742,-51.256,-99.555,-94.593,,-56.227,Baseline
121,,63.434,60.745,22.458,26.146,,58.309,Baseline
122,,99.901,101.67,-117.33,-116.96,,96.899,Baseline
123,,103.56,101.75,22.142,23.844,,98.727,Baseline
125,,139.16,141.15,59.621,57.262,,135.89,Baseline
126,,243.26,243.26,-138.88,-283.77,,238.01,Baseline
303,,54.773,54.751,79.024,83.318,,49.534,Baseline
304,,-48.706,-48.658,-33.72,-32.542,,-53.857,Baseline
,,73.64921667,75.03791667,-1.912129167,-18.56057083,,-98.225,LG
,,133.5657994,134.4732021,98.25764549,116.3161353,,-352.05,LG
,,27.26400464,27.44922744,20.0567579,23.7429317,,95.05,LG
,,,,,,,113.79,LG
,,,,,,,7.6062,LG
,,,,,,,193.39,LG
,,,,,,,147.69,LG
,,,,,,,217.8,LG
,,,,,,,92.977,LG
,,,,,,,269.02,LG
,,,,,,,83.4,LG
,,,,,,,134.77,LG
,,,,,,,-69.104,LG
,,,,,,,18.087,LG
,,,,,,,211.72,LG
,,,,,,,102.02,LG
,,,,,,,-55.742,LG
,,,,,,,63.434,LG
,,,,,,,99.901,LG
,,,,,,,103.56,LG
,,,,,,,139.16,LG
,,,,,,,243.26,LG
,,,,,,,54.773,LG
,,,,,,,-48.706,LG
,,,,,,,-96.623,SP
,,,,,,,-361.7,SP
,,,,,,,95.223,SP
,,,,,,,115.12,SP
,,,,,,,8.493,SP
,,,,,,,195.97,SP
,,,,,,,151.52,SP
,,,,,,,219.19,SP
,,,,,,,93.569,SP
,,,,,,,271.12,SP
,,,,,,,84.648,SP
,,,,,,,120.71,SP
,,,,,,,-69.749,SP
,,,,,,,53.127,SP
,,,,,,,211.93,SP
,,,,,,,104.95,SP
,,,,,,,-51.256,SP
,,,,,,,60.745,SP
,,,,,,,101.67,SP
,,,,,,,101.75,SP
,,,,,,,141.15,SP
,,,,,,,243.26,SP
,,,,,,,54.751,SP
,,,,,,,-48.658,SP
,,,,,,,-135.04,LGSP
,,,,,,,-281.41,LGSP
,,,,,,,75.478,LGSP
,,,,,,,139.68,LGSP
,,,,,,,14.806,LGSP
,,,,,,,83.488,LGSP
,,,,,,,-37.146,LGSP
,,,,,,,-25.892,LGSP
,,,,,,,70.372,LGSP
,,,,,,,150.13,LGSP
,,,,,,,72.75,LGSP
,,,,,,,31.82,LGSP
,,,,,,,-6.6242,LGSP
,,,,,,,30.527,LGSP
,,,,,,,-24.423,LGSP
,,,,,,,1.8331,LGSP
,,,,,,,-99.555,LGSP
,,,,,,,22.458,LGSP
,,,,,,,-117.33,LGSP
,,,,,,,22.142,LGSP
,,,,,,,59.621,LGSP
,,,,,,,-138.88,LGSP
,,,,,,,79.024,LGSP
,,,,,,,-33.72,LGSP
,,,,,,,-130.99,LGSP Dynamic
,,,,,,,-367.32,LGSP Dynamic
,,,,,,,66.111,LGSP Dynamic
,,,,,,,132.06,LGSP Dynamic
,,,,,,,19.489,LGSP Dynamic
,,,,,,,3.5946,LGSP Dynamic
,,,,,,,-78.271,LGSP Dynamic
,,,,,,,-21.482,LGSP Dynamic
,,,,,,,66.169,LGSP Dynamic
,,,,,,,102.8,LGSP Dynamic
,,,,,,,74.829,LGSP Dynamic
,,,,,,,31.44,LGSP Dynamic
,,,,,,,-6.8893,LGSP Dynamic
,,,,,,,26.199,LGSP Dynamic
,,,,,,,-24.856,LGSP Dynamic
,,,,,,,-1.042,LGSP Dynamic
,,,,,,,-94.593,LGSP Dynamic
,,,,,,,26.146,LGSP Dynamic
,,,,,,,-116.96,LGSP Dynamic
,,,,,,,23.844,LGSP Dynamic
,,,,,,,57.262,LGSP Dynamic
,,,,,,,-283.77,LGSP Dynamic
,,,,,,,83.318,LGSP Dynamic
,,,,,,,-32.542,LGSP Dynamic
