Group,Subject,Lambda,Rho,Mu
0,SLA001,1.51017247,1.562486364,53.72651715
0,SLA002,6.472578568,0.875699868,3.553612461
0,SLA003,0.333608892,1.446615973,24.33855769
0,SLA004,0.944269365,0.74649869,8.903992074
0,SLA005,0.913710275,0.600590707,21.44496704
0,SLA006,3.20115076,2.101246426,54.41066639
0,SLA007,1.778638999,0.328517297,18.81855235
0,SLA008,7.597651768,0.670728297,14.74463102
0,SLA009,0.821383304,0.993700892,26.83018783
0,SLA010,5.511622362,1.217279678,5.878030629
0,SLA011,1.564518771,1.684753229,49.20021513
0,SLA012,3.26797557,1.202889875,12.6648477
0,SLA013,11.25706002,0.981307948,18.45650269
0,SLA014,1.373544592,0.857273672,25.34163293
0,SLA015,1.16398425,1.325807067,32.7074333
0,SLA016,0.414090679,0.862186556,15.17640407
0,SLA017,2.41012051,1.525307003,6.770349599
0,SLA019,1.380900905,1.214658291,10.55113604
0,SLA020,0.849399786,1.399546388,14.71177366
0,SLA021,1.92173213,1.503966268,35.16551365
0,SLA022,1.511479641,0.912994215,31.83667648
0,SLA023,1.603694434,1.496077876,22.65639215
0,SLA024,1.478820641,0.97278781,6.884747791
0,SLA025,1.192422118,0.54588198,11.22020967
0,SLA026,2.823166099,1.004574105,5.329575379
0,SLA027,1.014802875,1.634899939,10.71473482
0,SLA028,1.483336384,1.535057755,48.50987119
0,SLA029,1.774271971,1.758454975,50.00446206
0,SLA030,0.861427136,1.852666941,47.70612803
1,SLAFR001,1.428221584,0.819514492,16.8233044
1,SLAFR002,1.132666507,1.356669075,26.70320819
1,SLAFR003,3.227043295,1.047351719,8.262251837
1,SLAFR004,1.35097813,1.027645357,22.74204495
1,SLAFR005,1.492474249,0.859366318,22.77653661
1,SLAFR006,2.085958174,0.703112872,7.502287043
1,SLAFR007,4.688829102,0.540298129,9.624043971
1,SLAFR008,5.812371518,0.948818725,6.834922523
1,SLAFR009,1.371909056,1.458078737,123.6576217
1,SLAFR010,1.700840357,0.994162394,27.98350612
1,SLAFR011,0.964709367,1.158419572,65.83896859
1,SLAFR012,1.679255883,1.594880295,20.77584041
1,SLAFR013,1.202504606,1.041157668,10.14047257
1,SLAFR014,1.183239,0.94354295,14.05087309
1,SLAFR016,1.060378616,0.998991847,31.12570276
1,SLAFR018,1.4683592,1.131151567,26.41627698
1,SLAFR019,1.988813692,0.915677527,30.47421313
1,SLAFR020,1.845387167,1.193926839,10.97881927
1,SLAFR021,6.788039531,0.798826765,7.296381725
1,SLAFR022,1.95138594,0.686540811,12.34519242
1,SLAFR023,5.447212712,1.25496243,7.316608694
1,SLAFR024,23.13414436,1.462545283,25.33991403
1,SLAFR025,0.936516405,1.070666644,36.35076126
1,SLAFR026,0.521559707,1.283494726,20.81886393
1,SLAFR027,0.668936417,1.515712779,55.06088762
1,SLAFR028,2.233411111,1.292196368,15.2421301
1,SLAFR029,2.395679233,0.828343238,11.04528496
1,SLAFR030,1.857022987,0.931148727,10.85502362
