Analysis name: SLA_Madison																
Column conditions: None																
"Row conditions: Block, Procedure[Trial], Procedure[Block], SubTrial, Sex, Age, Procedure[SubTrial], Response.RESP, Response.RT, Running[SubTrial], GambleOutcome, GambleAmount, Amount1, Amount2, Certain"																
Statistics: BothBlockInstructions.RT:Mean																
Filters: None																
Data file: SLA_v1a_withpractice_FriendNew_8_11_16A-023-1																
File does not have data alterations.																
Block	Procedure[Trial]	Procedure[Block]	SubTrial	Sex	Age	Procedure[SubTrial]	Response.RESP	Response.RT	Running[SubTrial]	GambleOutcome	GambleAmount	Amount1	Amount2	Certain	Stats	
2	Self1	SelfTask	1	female	20	LASelfGain	1	530	List4	won	$10.00 	$10.00 	$0.00 	$6.00 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	2	female	20	LASelfMixed		0	List4	lost	($15.75)	$9.00 	($15.75)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	3	female	20	LASelfMixed	2	1221	List4	lost	($8.75)	$10.00 	($8.75)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	4	female	20	LASelfMixed	1	515	List4	won	$8.00 	$8.00 	($2.00)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	5	female	20	LASelfMixed	2	641	List4	lost	($12.00)	$6.00 	($12.00)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	6	female	20	LASelfMixed	2	806	List4	lost	($18.75)	$10.00 	($18.75)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	7	female	20	LASelfMixed	1	875	List4	won	$5.00 	$5.00 	($8.13)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	8	female	20	LASelfGain	1	737	List4	lost	$0.00 	$12.00 	$0.00 	$4.00 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	9	female	20	LASelfMixed	1	887	List4	won	$9.00 	$9.00 	($9.00)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	10	female	20	LASelfGain	1	1061	List4	lost	$0.00 	$22.00 	$0.00 	$13.00 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	11	female	20	LASelfMixed	1	794	List4	lost	($7.00)	$8.00 	($7.00)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	12	female	20	LASelfMixed	2	648	List4	won	$4.00 	$4.00 	($8.00)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	13	female	20	LASelfGain	1	629	List4	won	$25.00 	$25.00 	$0.00 	$9.00 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	14	female	20	LASelfMixed	1	1226	List4	lost	($3.75)	$2.00 	($3.75)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	15	female	20	LASelfMixed	1	1240	List4	won	$2.00 	$2.00 	($1.25)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	16	female	20	LASelfMixed	2	734	List4	won	$6.00 	$6.00 	($9.00)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	17	female	20	LASelfGain	1	459	List4	won	$13.00 	$13.00 	$0.00 	$6.00 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	18	female	20	LASelfMixed	1	873	List4	lost	($4.00)	$4.00 	($4.00)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	19	female	20	LASelfGain	1	942	List4	won	$7.00 	$7.00 	$0.00 	$3.00 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	20	female	20	LASelfGain	1	1076	List4	won	$3.25 	$3.25 	$0.00 	$1.00 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	21	female	20	LASelfMixed	1	457	List4	won	$4.00 	$4.00 	($1.00)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	22	female	20	LASelfGain	1	935	List4	lost	$0.00 	$8.00 	$0.00 	$4.25 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	23	female	20	LASelfGain	1	445	List4	lost	$0.00 	$17.00 	$0.00 	$9.00 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	24	female	20	LASelfMixed	2	347	List4	won	$12.00 	$12.00 	($18.00)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	25	female	20	LASelfMixed	1	1416	List4	lost	($5.00)	$5.00 	($5.00)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	26	female	20	LASelfGain	1	918	List4	won	$4.00 	$4.00 	$0.00 	$2.25 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	27	female	20	LASelfMixed	2	660	List4	lost	($9.00)	$12.00 	($9.00)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	28	female	20	LASelfMixed	2	593	List4	won	$8.00 	$8.00 	($9.00)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	29	female	20	LASelfMixed	2	559	List4	lost	($4.38)	$5.00 	($4.38)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self1	SelfTask	30	female	20	LASelfMixed	2	412	List4	lost	($13.00)	$8.00 	($13.00)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	1	female	20	LASelfMixed	2	741	List5	lost	($2.25)	$2.00 	($2.25)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	2	female	20	LASelfMixed	1	1322	List5	won	$6.00 	$6.00 	($4.50)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	3	female	20	LASelfMixed	2	360	List5	won	$2.00 	$2.00 	($3.25)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	4	female	20	LASelfGain	1	1149	List5	lost	$0.00 	$22.00 	$0.00 	$10.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	5	female	20	LASelfMixed		0	List5	won	$9.00 	$9.00 	($4.50)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	6	female	20	LASelfGain	2	1137	List5	won	$17.00 	$17.00 	$0.00 	$10.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	7	female	20	LASelfGain	1	727	List5	won	$4.00 	$4.00 	$0.00 	$2.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	8	female	20	LASelfMixed		0	List5	lost	($2.00)	$4.00 	($2.00)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	9	female	20	LASelfGain	1	706	List5	won	$11.00 	$11.00 	$0.00 	$6.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	10	female	20	LASelfGain	2	848	List5	lost	$0.00 	$7.00 	$0.00 	$4.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	11	female	20	LASelfMixed	1	684	List5	lost	($3.75)	$10.00 	($3.75)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	12	female	20	LASelfMixed	2	1586	List5	won	$12.00 	$12.00 	($24.00)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	13	female	20	LASelfMixed	2	848	List5	lost	($10.50)	$6.00 	($10.50)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	14	female	20	LASelfMixed	2	374	List5	lost	($9.38)	$5.00 	($9.38)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	15	female	20	LASelfMixed	1	787	List5	won	$8.00 	$8.00 	($5.00)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	16	female	20	LASelfMixed	1	1057	List5	won	$5.00 	$5.00 	($3.13)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	17	female	20	LASelfGain	1	325	List5	lost	$0.00 	$30.00 	$0.00 	$12.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	18	female	20	LASelfMixed	2	619	List5	won	$4.00 	$4.00 	($7.00)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	19	female	20	LASelfMixed	2	385	List5	won	$10.00 	$10.00 	($13.75)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	20	female	20	LASelfMixed	2	640	List5	lost	($15.00)	$8.00 	($15.00)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	21	female	20	LASelfGain	1	693	List5	won	$24.00 	$24.00 	$0.00 	$12.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	22	female	20	LASelfMixed	2	355	List5	lost	($15.00)	$12.00 	($15.00)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	23	female	20	LASelfMixed	2	376	List5	lost	($18.00)	$9.00 	($18.00)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	24	female	20	LASelfGain	1	325	List5	won	$13.00 	$13.00 	$0.00 	$5.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	25	female	20	LASelfMixed	1	482	List5	won	$2.00 	$2.00 	($0.75)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	26	female	20	LASelfMixed	1	1232	List5	lost	($6.00)	$12.00 	($6.00)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	27	female	20	LASelfGain	1	822	List5	lost	$0.00 	$8.00 	$0.00 	$3.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	28	female	20	LASelfMixed		0	List5	won	$8.00 	$8.00 	($6.00)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	29	female	20	LASelfMixed	2	850	List5	lost	($5.00)	$4.00 	($5.00)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	30	female	20	LASelfMixed	2	591	List5	lost	($6.00)	$6.00 	($6.00)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	1	female	20	LASelfMixed	2	372	List6	won	$9.00 	$9.00 	($11.25)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	2	female	20	LASelfMixed	2	674	List6	won	$12.00 	$12.00 	($21.00)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	3	female	20	LASelfMixed	2	400	List6	won	$5.00 	$5.00 	($6.88)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	4	female	20	LASelfMixed	1	493	List6	lost	($3.00)	$12.00 	($3.00)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	5	female	20	LASelfGain	1	339	List6	won	$5.00 	$5.00 	$0.00 	$2.00 	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	6	female	20	LASelfMixed	2	1176	List6	lost	($6.75)	$9.00 	($6.75)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	7	female	20	LASelfGain	1	405	List6	lost	$0.00 	$26.00 	$0.00 	$10.00 	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	8	female	20	LASelfMixed	1	1723	List6	won	$8.00 	$8.00 	($3.00)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	9	female	20	LASelfGain	1	616	List6	won	$19.00 	$19.00 	$0.00 	$8.00 	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	10	female	20	LASelfGain	1	606	List6	lost	$0.00 	$25.00 	$0.00 	$10.00 	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	11	female	20	LASelfMixed	1	1259	List6	lost	($1.88)	$5.00 	($1.88)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	12	female	20	LASelfMixed	2	328	List6	lost	($2.75)	$2.00 	($2.75)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	13	female	20	LASelfMixed	2	550	List6	won	$2.00 	$2.00 	($1.75)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	14	female	20	LASelfMixed	2	611	List6	lost	($11.25)	$10.00 	($11.25)	$0.00 	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	15	female	20	LASelfGain	1	482	List6	lost	$0.00 	$5.00 	$0.00 	$3.00 	Mean BothBlockInstructions.RT	N/A
