Analysis name: SLA_Madison
Column conditions: None
Row conditions: Block, Procedure[Trial], Procedure[Block], SubTrial, Sex, Age, Procedure[SubTrial], Response.RESP, Response.RT, Running[SubTrial], GambleOutcome, GambleAmount, Amount1, Amount2, Certain, Rating, RatingsList
Statistics: Response.RT:Mean
Filters: None
Data file: SLA_v1a_withpractice_Other_8_11_16A_ORDER2-12-1
File does not have data alterations.
Block	Procedure[Trial]	Procedure[Block]	SubTrial	Sex	Age	Procedure[SubTrial]	Response.RESP	Response.RT	Running[SubTrial]	GambleOutcome	GambleAmount	Amount1	Amount2	Certain	Rating	RatingsList	Stats	
1	PracticeTrials	Instructions	1	female	24	PracticeMixed	NULL	NULL	List14	won	$5.00	$5.00	-$3.00	$0.00	NULL	NULL	Mean Response.RT	N/A
1	PracticeTrials	Instructions	2	female	24	PracticeMixed	NULL	NULL	List14	lost	-$2.00	$4.00	-$2.00	$0.00	NULL	NULL	Mean Response.RT	N/A
1	PracticeTrials	Instructions	3	female	24	PracticeGain	NULL	NULL	List14	won	$7.00	$7.00	$0.00	$2.00	NULL	NULL	Mean Response.RT	N/A
1	PracticeTrials	Instructions	4	female	24	PracticeGain	NULL	NULL	List14	lost	$0.00	$8.00	$0.00	$4.00	NULL	NULL	Mean Response.RT	N/A
2	Self1	SelfTask	1	female	24	LASelfGain	2	144	List4	won	$10.00	$10.00	$0.00	$6.00	NULL	NULL	Mean Response.RT	144.00
2	Self1	SelfTask	2	female	24	LASelfMixed	2	757	List4	lost	-$15.75	$9.00	-$15.75	$0.00	NULL	NULL	Mean Response.RT	757.00
2	Self1	SelfTask	3	female	24	LASelfMixed	2	1619	List4	lost	-$8.75	$10.00	-$8.75	$0.00	NULL	NULL	Mean Response.RT	1619.00
2	Self1	SelfTask	4	female	24	LASelfMixed	1	1088	List4	won	$8.00	$8.00	-$2.00	$0.00	NULL	NULL	Mean Response.RT	1088.00
2	Self1	SelfTask	5	female	24	LASelfMixed	2	1221	List4	lost	-$12.00	$6.00	-$12.00	$0.00	NULL	NULL	Mean Response.RT	1221.00
2	Self1	SelfTask	6	female	24	LASelfMixed	2	812	List4	lost	-$18.75	$10.00	-$18.75	$0.00	NULL	NULL	Mean Response.RT	812.00
2	Self1	SelfTask	7	female	24	LASelfMixed	2	1457	List4	won	$5.00	$5.00	-$8.13	$0.00	NULL	NULL	Mean Response.RT	1457.00
2	Self1	SelfTask	8	female	24	LASelfGain	1	1423	List4	lost	$0.00	$12.00	$0.00	$4.00	NULL	NULL	Mean Response.RT	1423.00
2	Self1	SelfTask	9	female	24	LASelfMixed		0	List4	won	$9.00	$9.00	-$9.00	$0.00	NULL	NULL	Mean Response.RT	0.00
2	Self1	SelfTask	10	female	24	LASelfGain	1	1674	List4	lost	$0.00	$22.00	$0.00	$13.00	NULL	NULL	Mean Response.RT	1674.00
2	Self1	SelfTask	11	female	24	LASelfMixed	2	992	List4	lost	-$7.00	$8.00	-$7.00	$0.00	NULL	NULL	Mean Response.RT	992.00
2	Self1	SelfTask	12	female	24	LASelfMixed	2	718	List4	won	$4.00	$4.00	-$8.00	$0.00	NULL	NULL	Mean Response.RT	718.00
2	Self1	SelfTask	13	female	24	LASelfGain	1	1052	List4	won	$25.00	$25.00	$0.00	$9.00	NULL	NULL	Mean Response.RT	1052.00
2	Self1	SelfTask	14	female	24	LASelfMixed	2	1313	List4	lost	-$3.75	$2.00	-$3.75	$0.00	NULL	NULL	Mean Response.RT	1313.00
2	Self1	SelfTask	15	female	24	LASelfMixed	2	446	List4	won	$2.00	$2.00	-$1.25	$0.00	NULL	NULL	Mean Response.RT	446.00
2	Self1	SelfTask	16	female	24	LASelfMixed	2	1148	List4	won	$6.00	$6.00	-$9.00	$0.00	NULL	NULL	Mean Response.RT	1148.00
2	Self1	SelfTask	17	female	24	LASelfGain	1	1025	List4	won	$13.00	$13.00	$0.00	$6.00	NULL	NULL	Mean Response.RT	1025.00
