Analysis name: SLA_Madison
Column conditions: None
Row conditions: Block, Procedure[Trial], Procedure[Block], SubTrial, Sex, Age, Procedure[SubTrial], Response.RESP, Response.RT, Running[SubTrial], GambleOutcome, GambleAmount, Amount1, Amount2, Certain, Rating, RatingOutcome
Statistics: BothBlockInstructions.RT:Mean
Filters: None
Data file: SLA_v1a_withpractice_Friend_8_11_16A-002
File does not have data alterations.
Block	Procedure[Trial]	Procedure[Block]	SubTrial	Sex	Age	Procedure[SubTrial]	Response.RESP	Response.RT	Running[SubTrial]	GambleOutcome	GambleAmount	Amount1	Amount2	Certain	Rating	RatingOutcome	Stats	
1	Both1	BothTask	1	male	21	LABothMixed	2	918	List11	won	$8.00	$8.00	-$9.00	$0.00	NULL	NULL	Mean BothBlockInstructions.RT	48666.00
1	Both1	BothTask	2	male	21	LABothMixed	2	851	List11	lost	-$3.75	$2.00	-$3.75	$0.00	NULL	NULL	Mean BothBlockInstructions.RT	48666.00
1	Both1	BothTask	3	male	21	LABothGain	1	880	List11	won	$12.00	$12.00	$0.00	$4.00	NULL	NULL	Mean BothBlockInstructions.RT	48666.00
1	Both1	BothTask	4	male	21	LABothGain	2	1462	List11	lost	$0.00	$22.00	$0.00	$13.00	NULL	NULL	Mean BothBlockInstructions.RT	48666.00
1	Both1	BothTask	5	male	21	LABothMixed	2	883	List11	lost	-$4.38	$5.00	-$4.38	$0.00	NULL	NULL	Mean BothBlockInstructions.RT	48666.00
1	Both1	BothTask	6	male	21	LABothMixed	2	282	List11	lost	-$18.75	$10.00	-$18.75	$0.00	NULL	NULL	Mean BothBlockInstructions.RT	48666.00
1	Both1	BothTask	7	male	21	LABothMixed	2	1440	List11	won	$9.00	$9.00	-$9.00	$0.00	NULL	NULL	Mean BothBlockInstructions.RT	48666.00
1	Both1	BothTask	8	male	21	LABothMixed	2	1941	List11	lost	-$1.25	$2.00	-$1.25	$0.00	NULL	NULL	Mean BothBlockInstructions.RT	48666.00
1	Both1	BothTask	9	male	21	LABothMixed	1	434	List11	won	$4.00	$4.00	-$1.00	$0.00	NULL	NULL	Mean BothBlockInstructions.RT	48666.00
1	Both1	BothTask	10	male	21	LABothMixed	2	848	List11	lost	-$13.00	$8.00	-$13.00	$0.00	NULL	NULL	Mean BothBlockInstructions.RT	48666.00
1	Both1	BothTask	11	male	21	LABothMixed	1	862	List11	won	$8.00	$8.00	-$2.00	$0.00	NULL	NULL	Mean BothBlockInstructions.RT	48666.00
1	Both1	BothTask	12	male	21	LABothMixed	2	850	List11	lost	-$12.00	$6.00	-$12.00	$0.00	NULL	NULL	Mean BothBlockInstructions.RT	48666.00
1	Both1	BothTask	13	male	21	LABothMixed	1	1409	List11	lost	-$9.00	$12.00	-$9.00	$0.00	NULL	NULL	Mean BothBlockInstructions.RT	48666.00
1	Both1	BothTask	14	male	21	LABothMixed	2	238	List11	won	$6.00	$6.00	-$9.00	$0.00	NULL	NULL	Mean BothBlockInstructions.RT	48666.00
1	Both1	BothTask	15	male	21	LABothGain	1	1324	List11	won	$3.25	$3.25	$0.00	$1.00	NULL	NULL	Mean BothBlockInstructions.RT	48666.00
1	Both1	BothTask	16	male	21	LABothGain	1	353	List11	won	$7.00	$7.00	$0.00	$3.00	NULL	NULL	Mean BothBlockInstructions.RT	48666.00
1	Both1	BothTask	17	male	21	LABothMixed	2	1294	List11	lost	-$7.00	$8.00	-$7.00	$0.00	NULL	NULL	Mean BothBlockInstructions.RT	48666.00
1	Both1	BothTask	18	male	21	LABothGain	1	940	List11	won	$25.00	$25.00	$0.00	$9.00	NULL	NULL	Mean BothBlockInstructions.RT	48666.00
1	Both1	BothTask	19	male	21	LABothGain	1	169	List11	lost	$0.00	$8.00	$0.00	$4.25	NULL	NULL	Mean BothBlockInstructions.RT	48666.00
1	Both1	BothTask	20	male	21	LABothMixed	2	1199	List11	lost	-$8.75	$10.00	-$8.75	$0.00	NULL	NULL	Mean BothBlockInstructions.RT	48666.00
1	Both1	BothTask	21	male	21	LABothMixed	2	1204	List11	won	$4.00	$4.00	-$8.00	$0.00	NULL	NULL	Mean BothBlockInstructions.RT	48666.00
